"","NMDS1","NMDS2"
"1996-05-21",-0.659501541633369,-0.0603409710393002
"1996-06-11",-0.220768491672917,-0.287621956887202
"1996-07-11",0.053900872414171,-0.0183038333595329
"1996-07-25",0.479139597747083,-0.0051538277528481
"1996-08-12",0.210135917878224,-0.0225580618657281
"1996-08-26",0.281828646252605,-0.0920207131904003
"1996-09-05",0.299751442407563,-0.0371569883621952
"1996-09-19",0.0599178041495653,-0.0528651048411907
"1996-10-07",0.0165497559300332,0.0211595906370171
"1996-10-31",0.0177954445730115,-0.0890585435726572
"1996-11-26",-0.36790866630844,0.192053025627075
"1996-12-19",-0.452063090655099,0.0942548117709765
"1997-02-24",-0.49796154624516,-0.096672957389616
"1997-03-21",-0.248231094921529,0.336652426333186
"1997-04-04",-0.389292285787247,0.220946972035458
"1997-04-25",-0.337104777029825,0.468439830195948
"1997-05-05",-0.252615922377971,0.349233312001682
"1997-05-15",0.0146002080453869,0.570761742241278
"1997-05-28",0.342583851028926,0.1731256725133
"1997-06-11",0.548953232680529,0.449084034813236
"1997-06-27",0.412408899558485,0.207311892854555
"1997-07-15",0.144658000275237,-0.244293387609432
"1997-07-17",0.294550818937763,0.0752579278607293
"1997-07-23",0.374568217909833,0.0136846429678583
"1997-07-29",-0.0307801902009138,0.0158693019845475
"1997-07-30",0.238592951130092,0.0236443310384444
"1997-08-06",0.0944200919872644,-0.00436371715304298
"1997-08-12",0.175153446137384,0.00144641236631011
"1997-08-14",0.0555273272866835,0.0180262388193246
"1997-08-21",0.0624548836501069,0.0452401702201398
"1997-08-27",0.241545796378592,-0.257178996691001
"1997-08-28",-0.0481517658045676,-0.213021664449829
"1997-09-02",-0.339955527966595,-0.0149219655233555
"1997-09-09",-0.365096865340798,-0.340281902533409
"1997-10-15",-0.59820419954959,-0.164830287707693
"1997-11-03",-0.655322846631009,-0.221427683320942
"1997-11-15",-0.643903431132764,0.129107545318608
"1997-12-12",-0.93529174964226,0.18599809760357
"1998-01-30",-0.83056929936216,0.162689241562935
"1998-03-05",-0.821880785422513,0.163494818697683
"1998-03-18",-0.771501365290112,0.3247605551935
"1998-04-05",-0.719007254784441,0.142075844025211
"1998-04-10",-0.799561879799849,-0.354221487595936
"1998-04-21",-0.503702495357563,-0.140953670381657
"1998-04-29",-0.739131441531889,-0.214741453648533
"1998-05-12",-0.479115296719023,0.0582626220657619
"1998-05-27",-0.37826364224557,-0.301494966203319
"1998-06-02",-0.273318813553336,-0.108496540301584
"1998-06-12",-0.343046205905403,-0.128994193497315
"1998-06-23",-0.535217244154183,-0.218957885635259
"1998-07-06",-0.352456053879266,-0.388408892279955
"1998-07-20",-0.268806189843738,-0.161963662050674
"1998-07-28",0.0123620241842485,-0.164072103633362
"1998-08-06",-0.110835320654891,-0.0311736286903733
"1998-08-14",-0.360320591074535,-0.0245670188566736
"1998-08-27",-0.183975601175913,-0.0828973241700261
"1998-09-10",-0.107389887685806,-0.0623438462322726
"1998-09-20",0.0736843968849082,-0.413213202957792
"1998-09-24",-0.278556789132192,-0.0513184146182119
"1998-09-26",-0.229819807109603,0.122331109917944
"1998-10-05",-0.106061923774505,-0.0235899011885596
"1998-11-03",-0.303266720844487,0.0151128075836222
"1998-11-16",-0.406729844860202,0.0155833751970759
"1998-12-17",-0.544869066716426,0.220147365991684
"1999-02-17",-0.442690611751728,0.280001764393397
"1999-03-11",-0.558229888039621,0.46676891737464
"1999-04-01",-0.248996431353786,0.168978855273906
"1999-04-19",-0.405270744056077,0.440118520397871
"1999-04-29",-0.0521699867318962,0.376111402305246
"1999-05-14",0.12330702090518,0.148311193247598
"1999-05-23",0.397194451920423,0.196638515910496
"1999-06-10",0.550838104309845,0.044441545405148
"1999-06-23",0.57710694912593,-0.0246892291986389
"1999-07-03",0.583652641957781,0.0466234666552307
"1999-07-09",0.412844229888112,-0.0294586865327554
"1999-07-15",0.40484609133515,-0.0110520505657992
"1999-07-19",0.586519865959874,0.174348470305045
"1999-07-26",0.317056378184519,0.0947193337020202
"1999-08-05",0.583681246522805,0.279136851459704
"1999-08-19",0.57764927757113,0.0573636927330865
"1999-09-01",0.568462590487613,0.196740794437725
"1999-09-08",0.419378559306696,0.365058908306533
"1999-09-22",0.534844844392509,0.232126803654373
"1999-09-29",0.356355022274441,0.0480699059332917
"1999-10-15",0.232619572453989,0.0361429620067425
"1999-11-04",0.618100948718667,0.4246502246318
"1999-12-20",-0.326355660993078,0.317568175189121
"2000-01-20",-0.217002751434769,0.401581453767871
"2000-02-01",-0.277095974947722,0.319254609688347
"2000-02-16",-0.456182054656925,0.443537351002298
"2000-03-07",-0.602860276842786,0.678983324601377
"2000-04-06",-0.187617727637398,0.419279627894723
"2000-04-11",0.45296618895725,0.469594444123736
"2000-04-30",0.10933922766735,0.653202694059652
"2000-05-17",0.214440042071088,0.677567333163124
"2000-05-22",0.463355170657369,0.207999361398662
"2000-06-03",0.628796148830773,0.52293463736275
"2000-06-12",0.43129492981274,0.134947250873884
"2000-06-17",0.635996688122127,0.0824188196602636
"2000-06-18",0.743908327878669,0.285205166347789
"2000-06-23",0.559402641859155,-0.0579294830994933
"2000-07-07",0.53727653140693,0.206547068220392
"2000-07-19",0.552450568990143,0.0587292735215051
"2000-08-04",0.483342813940023,0.0604801162106595
"2000-08-12",0.389634871479856,-0.0136613465765808
"2000-08-18",0.343480255959735,-0.0661405435883711
"2000-08-28",0.31430469551483,0.00977373274950592
"2000-09-07",0.433338614256898,-0.0417677565771987
"2000-09-23",0.362224913044951,-0.00466236608594953
