Year,Mo_spr,Dy_spr,Mo_fal,Dy_fal
1996,7,11,10,7
1997,5,15,8,28
1998,7,28,8,6
1999,5,14,11,4
2000,4,6,10,23
2001,3,20,11,7
2002,4,30,11,1
2003,6,5,10,3
2004,5,25,10,14
2005,8,18,9,28
2006,5,30,10,31
2007,3,22,10,12
2008,3,4,10,27
2009,3,6,12,1
2010,6,18,11,24
2011,3,23,9,29
2012,5,4,10,25
2013,4,1,9,26
2014,4,1,9,25
2015,NA,NA,NA,NA
2016,NA,NA,NA,NA
2017,7,6,10,4
2018,5,29,11,8
2019,6,5,9,11
2020,4,6,9,21
