Date,NMDS1,NMDS2
10/2/2001,0.332127487,0.125823465
10/29/2001,0.371418263,0.085918474
11/7/2001,0.309047211,0.003132399
11/27/2001,-0.252399876,0.031018914
1/14/2002,-0.444473758,0.004132991
1/29/2002,-0.466777321,0.176407803
2/19/2002,-0.484111022,0.130370243
3/4/2002,-0.384816676,0.297218653
3/20/2002,-0.084645874,0.244626457
3/27/2002,-0.341478734,0.207521592
4/4/2002,-0.082502016,0.058545482
4/18/2002,0.016054982,0.434886559
4/30/2002,0.054237669,0.120254696
5/9/2002,0.239062196,-0.202503992
5/20/2002,0.522145669,-0.113439915
5/29/2002,0.641714204,-0.062892366
6/4/2002,0.679584785,0.018024604
6/5/2002,0.598239777,-0.080300358
6/6/2002,0.601010918,0.044363079
6/7/2002,0.534852568,-0.037173379
6/8/2002,0.508178387,-0.002632638
6/17/2002,0.447959178,-0.032148161
6/21/2002,0.607083853,-0.096572549
7/3/2002,0.434116668,-0.077393728
7/9/2002,0.581934718,-0.034651929
7/23/2002,0.571512095,0.097838576
7/31/2002,0.452349357,-0.045171499
8/9/2002,0.535375219,-0.134622537
8/18/2002,0.490914281,-0.041461198
8/30/2002,0.495697789,0.022073047
9/27/2002,0.338475294,-0.092313943
10/3/2002,0.250413772,-0.083653262
10/15/2002,0.331888623,0.043620737
11/1/2002,0.442893491,-0.126841903
11/15/2002,-0.60085735,0.091149187
12/4/2002,-0.513842658,0.119024056
1/9/2003,-0.638745418,-0.080534161
2/6/2003,-0.593194888,0.096638154
2/14/2003,-0.679706726,0.197480588
2/25/2003,-0.301463363,0.377914781
3/24/2003,-0.346273893,-0.049427384
4/1/2003,-0.291886351,-0.007869053
4/16/2003,-0.211915503,-0.032188333
4/30/2003,-0.298921927,-0.063650893
5/6/2003,-0.323513966,-0.118903803
5/21/2003,-0.162458316,0.217528766
6/5/2003,0.218931581,-0.242611741
6/25/2003,0.162975162,-0.165368846
7/2/2003,0.095446447,-0.098669196
7/17/2003,0.277079403,-0.201271724
7/24/2003,0.255812881,-0.367584622
8/5/2003,0.244602426,-0.06765634
8/20/2003,0.387711531,-0.197556362
8/23/2003,0.41298338,0.009763085
9/4/2003,0.32170836,0.154560135
9/17/2003,0.26613547,-0.162705631
9/26/2003,0.071889415,-0.253291632
10/3/2003,0.056540249,-0.13751864
10/23/2003,-0.375332431,-0.07869382
11/3/2003,-0.179515132,-0.196641186
1/15/2004,-0.723581948,0.074821543
1/21/2004,-0.944238797,0.116167755
