Mon,Day,Year,sshtimser
7,28,1993,0.003862394
7,29,1993,0.007262396
7,30,1993,0.009762397
7,31,1993,0.013662396
8,1,1993,0.013862396
8,2,1993,0.016662395
8,3,1993,0.019762395
8,4,1993,0.022362395
8,5,1993,0.025962396
8,6,1993,0.029662395
8,7,1993,0.034362397
8,8,1993,0.042162398
8,9,1993,0.047362397
8,10,1993,0.050162392
8,11,1993,0.051762397
8,12,1993,0.051962393
8,13,1993,0.052962395
8,14,1993,0.052662397
8,15,1993,0.053562398
8,16,1993,0.053662399
8,17,1993,0.052862393
8,18,1993,0.052462394
8,19,1993,0.052662397
8,20,1993,0.052262398
8,21,1993,0.050362395
8,22,1993,0.048962394
8,23,1993,0.048962394
8,24,1993,0.048162396
8,25,1993,0.047062399
8,26,1993,0.045862394
8,27,1993,0.044762398
8,28,1993,0.043662394
8,29,1993,0.043162393
8,30,1993,0.042062397
8,31,1993,0.040362398
9,1,1993,0.040362398
9,2,1993,0.040162394
9,3,1993,0.040062393
9,4,1993,0.037562395
9,5,1993,0.035762394
9,6,1993,0.036862398
9,7,1993,0.035962398
9,8,1993,0.034362397
9,9,1993,0.034162397
9,10,1993,0.032862397
9,11,1993,0.036262395
9,12,1993,0.038062396
9,13,1993,0.036362397
9,14,1993,0.035562398
9,15,1993,0.039962398
9,16,1993,0.038762393
9,17,1993,0.041062395
9,18,1993,0.041962395
9,19,1993,0.042062397
9,20,1993,0.038862395
9,21,1993,0.044162395
9,22,1993,0.045162397
9,23,1993,0.045462395
9,24,1993,0.045762392
9,25,1993,0.045862394
9,26,1993,0.047262395
9,27,1993,0.048462393
9,28,1993,0.050062398
9,29,1993,0.051162394
9,30,1993,0.052562395
10,1,1993,0.053262392
10,2,1993,0.055962393
10,3,1993,0.055662396
10,4,1993,0.053562398
10,5,1993,0.056562396
10,6,1993,0.056062395
10,7,1993,0.057562398
10,8,1993,0.059862392
10,9,1993,0.055662396
10,10,1993,0.056662398
10,11,1993,0.056162397
10,12,1993,0.055562394
10,13,1993,0.055162395
10,14,1993,0.056262399
10,15,1993,0.057762394
10,16,1993,0.053462396
10,17,1993,0.049662399
10,18,1993,0.048562395
10,19,1993,0.046362395
10,20,1993,0.045862394
10,21,1993,0.045762392
10,22,1993,0.045062395
10,23,1993,0.046262393
10,24,1993,0.045962396
10,25,1993,0.047062399
10,26,1993,0.047762396
10,27,1993,0.047462399
10,28,1993,0.048162396
10,29,1993,0.048262397
10,30,1993,0.049962396
10,31,1993,0.051262396
11,1,1993,0.050162392
11,2,1993,0.050562399
11,3,1993,0.052062394
11,4,1993,0.053462396
11,5,1993,0.054862397
11,6,1993,0.055362398
11,7,1993,0.057262393
11,8,1993,0.057462396
11,9,1993,0.059962394
11,10,1993,0.059162395
11,11,1993,0.060562397
11,12,1993,0.061662393
11,13,1993,0.062562393
11,14,1993,0.065162393
11,15,1993,0.064262392
11,16,1993,0.061862396
11,17,1993,0.060762393
11,18,1993,0.059862392
11,19,1993,0.058162393
11,20,1993,0.058062399
11,21,1993,0.060262399
11,22,1993,0.057262393
11,23,1993,0.052262398
11,24,1993,0.051162394
11,25,1993,0.044162395
11,26,1993,0.043662394
11,27,1993,0.041962395
11,28,1993,0.039762395
11,29,1993,0.036862398
11,30,1993,0.038262399
12,1,1993,0.037962394
12,2,1993,0.036562393
12,3,1993,0.034362397
12,4,1993,0.032262395
12,5,1993,0.030362396
12,6,1993,0.028362396
12,7,1993,0.027462395
12,8,1993,0.026862396
12,9,1993,0.025662395
12,10,1993,0.024562395
12,11,1993,0.024562395
12,12,1993,0.022962397
12,13,1993,0.022862396
12,14,1993,0.022062397
12,15,1993,0.022662396
12,16,1993,0.020862395
12,17,1993,0.020062397
12,18,1993,0.020762397
12,19,1993,0.020862395
12,20,1993,0.020662396
12,21,1993,0.019962395
12,22,1993,0.023462395
12,23,1993,0.022862396
12,24,1993,0.022562394
12,25,1993,0.023362397
12,26,1993,0.020062397
12,27,1993,0.018562397
12,28,1993,0.014862394
12,29,1993,0.023262395
12,30,1993,0.023462395
12,31,1993,0.023762396
1,1,1994,0.023962396
1,2,1994,0.022562394
1,3,1994,0.020762397
1,4,1994,0.021462394
1,5,1994,0.018562397
1,6,1994,0.017262394
1,7,1994,0.018262396
1,8,1994,0.018262396
1,9,1994,0.017362396
1,10,1994,0.014662395
1,11,1994,0.014362397
1,12,1994,0.013662396
1,13,1994,0.009362394
1,14,1994,0.009362394
1,15,1994,0.008162396
1,16,1994,0.004962394
1,17,1994,0.004762395
1,18,1994,0.003862394
1,19,1994,0.001062395
1,20,1994,-0.000237604
1,21,1994,-0.001137605
1,22,1994,-0.003137605
1,23,1994,-0.004737604
1,24,1994,-0.006237605
1,25,1994,-0.008037604
1,26,1994,-0.011537604
1,27,1994,-0.013137605
1,28,1994,-0.014137605
1,29,1994,-0.016337605
1,30,1994,-0.018137605
1,31,1994,-0.018837604
2,1,1994,-0.019637605
2,2,1994,-0.021337604
2,3,1994,-0.021137605
2,4,1994,-0.023037605
2,5,1994,-0.025037604
2,6,1994,-0.026337604
2,7,1994,-0.027537604
2,8,1994,-0.029237604
2,9,1994,-0.030737604
2,10,1994,-0.030437604
2,11,1994,-0.028437604
2,12,1994,-0.030737604
2,13,1994,-0.029337604
2,14,1994,-0.029937605
2,15,1994,-0.033237605
2,16,1994,-0.032237604
2,17,1994,-0.032537604
2,18,1994,-0.033037604
2,19,1994,-0.032737604
2,20,1994,-0.030237604
2,21,1994,-0.029937605
2,22,1994,-0.029837604
2,23,1994,-0.029037604
2,24,1994,-0.028637604
2,25,1994,-0.031137604
2,26,1994,-0.031437604
2,27,1994,-0.032537604
2,28,1994,-0.031637604
3,1,1994,-0.031937604
3,2,1994,-0.030437604
3,3,1994,-0.031537605
3,4,1994,-0.029337604
3,5,1994,-0.029737604
3,6,1994,-0.029537605
3,7,1994,-0.031737604
3,8,1994,-0.033137604
3,9,1994,-0.033137604
3,10,1994,-0.032637605
3,11,1994,-0.033237605
3,12,1994,-0.030937604
3,13,1994,-0.030537604
3,14,1994,-0.028137604
3,15,1994,-0.027737604
3,16,1994,-0.028437604
3,17,1994,-0.030937604
3,18,1994,-0.032037604
3,19,1994,-0.033037604
3,20,1994,-0.034037605
3,21,1994,-0.033537604
3,22,1994,-0.033837604
3,23,1994,-0.033937604
3,24,1994,-0.036037605
3,25,1994,-0.035437604
3,26,1994,-0.037037604
3,27,1994,-0.039637604
3,28,1994,-0.039637604
3,29,1994,-0.042437604
3,30,1994,-0.043037604
3,31,1994,-0.043137604
4,1,1994,-0.041237604
4,2,1994,-0.042637605
4,3,1994,-0.042437604
4,4,1994,-0.042737605
4,5,1994,-0.043437605
4,6,1994,-0.048037605
4,7,1994,-0.050237605
4,8,1994,-0.055037604
4,9,1994,-0.057937605
4,10,1994,-0.058337604
4,11,1994,-0.059737606
4,12,1994,-0.059537606
4,13,1994,-0.061237605
4,14,1994,-0.062237603
4,15,1994,-0.067737603
4,16,1994,-0.068737605
4,17,1994,-0.071737604
4,18,1994,-0.076637605
4,19,1994,-0.078737603
4,20,1994,-0.079537605
4,21,1994,-0.080337604
4,22,1994,-0.082237603
4,23,1994,-0.083737606
4,24,1994,-0.084837606
4,25,1994,-0.086337605
4,26,1994,-0.089037606
4,27,1994,-0.089337604
4,28,1994,-0.091337604
4,29,1994,-0.091337604
4,30,1994,-0.092037601
5,1,1994,-0.092137603
5,2,1994,-0.092637604
5,3,1994,-0.092037601
5,4,1994,-0.091837605
5,5,1994,-0.094037605
5,6,1994,-0.093637606
5,7,1994,-0.091537607
5,8,1994,-0.091137608
5,9,1994,-0.089737603
5,10,1994,-0.087937606
5,11,1994,-0.084937604
5,12,1994,-0.080937603
5,13,1994,-0.080037603
5,14,1994,-0.075437603
5,15,1994,-0.074337603
5,16,1994,-0.063037606
5,17,1994,-0.060137605
5,18,1994,-0.056537604
5,19,1994,-0.055737605
5,20,1994,-0.053937604
5,21,1994,-0.052037604
5,22,1994,-0.046737605
5,23,1994,-0.047137605
5,24,1994,-0.043637605
5,25,1994,-0.043637605
5,26,1994,-0.041037605
5,27,1994,-0.039837604
5,28,1994,-0.037737605
5,29,1994,-0.035037604
5,30,1994,-0.033537604
5,31,1994,-0.031337604
6,1,1994,-0.028937604
6,2,1994,-0.027637604
6,3,1994,-0.026137604
6,4,1994,-0.024637604
6,5,1994,-0.023837604
6,6,1994,-0.022937604
6,7,1994,-0.022037604
6,8,1994,-0.021437605
6,9,1994,-0.021937605
6,10,1994,-0.021637604
6,11,1994,-0.022937604
6,12,1994,-0.022237605
6,13,1994,-0.022537605
6,14,1994,-0.022037604
6,15,1994,-0.023137604
6,16,1994,-0.025537604
6,17,1994,-0.025637604
6,18,1994,-0.025737604
6,19,1994,-0.022637604
6,20,1994,-0.025337604
6,21,1994,-0.025037604
6,22,1994,-0.026237604
6,23,1994,-0.028737604
6,24,1994,-0.026137604
6,25,1994,-0.025337604
6,26,1994,-0.023837604
6,27,1994,-0.023137604
6,28,1994,-0.022437604
6,29,1994,-0.019737605
6,30,1994,-0.020237604
7,1,1994,-0.018037605
7,2,1994,-0.016537604
7,3,1994,-0.016137604
7,4,1994,-0.016237604
7,5,1994,-0.014337604
7,6,1994,-0.013437604
7,7,1994,-0.012737604
7,8,1994,-0.012437604
7,9,1994,-0.011437604
7,10,1994,-0.009537605
7,11,1994,-0.008437605
7,12,1994,-0.005237605
7,13,1994,-0.004837604
7,14,1994,-0.000437604
7,15,1994,0.003562395
7,16,1994,0.005062396
7,17,1994,0.007362394
7,18,1994,0.009662396
7,19,1994,0.011862396
7,20,1994,0.010362396
7,21,1994,0.017162396
7,22,1994,0.019262394
7,23,1994,0.020162395
7,24,1994,0.022662396
7,25,1994,0.023762396
7,26,1994,0.026062394
7,27,1994,0.028362396
7,28,1994,0.032162397
7,29,1994,0.036862398
7,30,1994,0.039462397
7,31,1994,0.042062397
8,1,1994,0.044662396
8,2,1994,0.045962396
8,3,1994,0.047362397
8,4,1994,0.048762398
8,5,1994,0.049862394
8,6,1994,0.050962398
8,7,1994,0.048062394
8,8,1994,0.044662396
8,9,1994,0.044862399
8,10,1994,0.044362398
8,11,1994,0.044462392
8,12,1994,0.044762398
8,13,1994,0.045062395
8,14,1994,0.046862396
8,15,1994,0.047662394
8,16,1994,0.047162393
8,17,1994,0.050162392
8,18,1994,0.051262396
8,19,1994,0.049662399
8,20,1994,0.050962398
8,21,1994,0.052862393
8,22,1994,0.054062399
8,23,1994,0.056662398
8,24,1994,0.055862399
