"","NMDS1","NMDS2","NMDS3"
"1996-05-21",-0.687512825347416,-0.0931534384147701,0.112625180051989
"1996-06-11",-0.210236569150743,-0.12220176713169,0.393174898181644
"1996-07-11",0.0530615950773794,-0.0304188445021048,0.126742060488829
"1996-07-25",0.500442379205768,0.00908082022723479,0.135637269728231
"1996-08-12",0.227216820749367,-0.0258081633187237,-0.0238055367595589
"1996-08-26",0.29507698783222,-0.219197575364839,0.103367829506104
"1996-09-05",0.323649951524623,-0.0393226607872997,-0.0932534740649207
"1996-09-19",0.0658336330782654,-0.0495065365101962,-0.15193661784057
"1996-10-07",0.0111640469459918,0.0439261855579348,-0.0311230320337974
"1996-10-31",0.0123820625992238,-0.119936315066254,-0.0270266837026949
"1996-11-26",-0.391611641671643,0.23669368953665,0.0576425714061741
"1996-12-19",-0.488241972668122,0.108268684687386,0.0261106129768164
"1997-02-24",-0.477587039532803,0.0244117172330518,-0.314461185901104
"1997-03-21",-0.259507995315796,0.387543937799977,-0.0907245048888668
"1997-04-04",-0.393144202868972,0.181694297056828,0.275758350132015
"1997-04-25",-0.33874892275417,0.498329938593732,0.166139801690006
"1997-05-05",-0.249590313910217,0.131577163174268,0.441748087717895
"1997-05-15",0.00911188416060144,0.611478919301195,0.114644653162065
"1997-05-28",0.357446196936539,0.234991051686856,-0.00422157852995629
"1997-06-11",0.488200577410941,0.223112091082589,-0.519073905228832
"1997-06-27",0.418237374762709,0.147843878690642,-0.267985639029177
"1997-07-15",0.157014149632395,-0.220666730044491,-0.215820512626087
"1997-07-17",0.309377864985347,-0.00131619126261763,-0.270490868391911
"1997-07-23",0.398898109333454,0.00557943901575309,-0.126782142823218
"1997-07-29",-0.043628312580816,0.028536439511803,0.0575170366836713
"1997-07-30",0.249162727184631,0.040403527592732,0.160175170672905
"1997-08-06",0.0931087345341798,0.0242788894178068,-0.0302221955780588
"1997-08-12",0.181081231873355,-0.0338554016559415,0.262334280151961
"1997-08-14",0.05414839910548,0.0422798825388635,0.0524159640365694
"1997-08-21",0.0617733779538463,0.0971904907793424,-0.0220677214983736
"1997-08-27",0.245025764175442,-0.0380926572880071,-0.335617027952012
"1997-08-28",-0.0390570189335111,-0.0774328183837738,-0.324789758790995
"1997-09-02",-0.370434518149056,-0.0166385423520738,-0.115544208067003
"1997-09-09",-0.371773493262988,-0.326847905445256,-0.242350820371139
"1997-10-15",-0.614627071636421,-0.155346347195917,-0.206110438535376
"1997-11-03",-0.671985385728258,-0.236877940878375,-0.179480451188672
"1997-11-15",-0.678406227974824,0.147003525702564,-0.0202601730643718
"1997-12-12",-0.964557846143065,0.209831525389,0.0809346998910218
"1998-01-30",-0.86272290799754,0.180311236283292,0.0562151652248089
"1998-03-05",-0.843054478455892,0.151413623137667,0.178552641110598
"1998-03-18",-0.78879138444105,0.358570527174855,-0.114620024145726
"1998-04-05",-0.752401717065856,0.166724394097335,-0.0374546824424344
"1998-04-10",-0.805983980930385,-0.236817693722972,-0.352359910962356
"1998-04-21",-0.529590914481563,-0.187544190045914,0.0789173257925783
"1998-04-29",-0.698435056102537,-0.158567537851711,0.386014747130542
"1998-05-12",-0.487305073645858,0.0583334155013426,0.215739559427846
"1998-05-27",-0.388740978614242,-0.362793946166876,0.0711413413705592
"1998-06-02",-0.303752846301167,-0.154568526383359,0.0769764808488266
"1998-06-12",-0.343599028055335,-0.13816009689364,0.252018032092639
"1998-06-23",-0.504599376114379,-0.147159101874593,0.353000994562984
"1998-07-06",-0.358513496340564,-0.448908830294232,0.0766304783569324
"1998-07-20",-0.291684389084745,-0.225153518718212,0.0737526898086126
"1998-07-28",0.00879141893691578,-0.239016780937459,0.0199600801567189
"1998-08-06",-0.132193183608883,-0.0248419171947085,-0.0381684297722394
"1998-08-14",-0.396662851058013,-0.0399464998328631,-0.00566350514481603
"1998-08-27",-0.208550563365711,-0.116356887133012,0.0461515334540579
"1998-09-10",-0.126743974637231,-0.0917806289760514,-0.00409478891226645
"1998-09-20",0.0746156458145529,-0.338095396290025,-0.335825937109025
"1998-09-24",-0.302319298020043,-0.0866741657583246,0.167278235375665
"1998-09-26",-0.240564225588213,0.131111059908172,-0.225365346449604
"1998-10-05",-0.127504694975684,-0.0793995800123708,-0.124416829910954
"1998-11-03",-0.335012561019217,0.028027304298552,-0.0890691993736334
"1998-11-16",-0.442097884106152,0.0162898513538542,0.0387210220391356
"1998-12-17",-0.548524781924151,0.192759651456034,-0.25827324555401
"1999-02-17",-0.460435161331252,0.327725355315306,0.00149256012797143
"1999-03-11",-0.558432368864432,0.507906754460684,-0.135727314177187
"1999-04-01",-0.252536167371907,0.121412600599112,-0.298393060380767
"1999-04-19",-0.410389668028172,0.483540234842819,-0.0934952689403253
"1999-04-29",-0.05032197904393,0.232164241258553,0.415582642516839
"1999-05-14",0.131156026155137,0.141596915173152,-0.213856838023293
"1999-05-23",0.408090528421799,0.188405418553539,-0.198811257717591
"1999-06-10",0.583049608064583,0.0860941545339954,0.026833277944289
"1999-06-23",0.612467038889247,-0.0254710953672567,-0.0256384324607265
"1999-07-03",0.615109106850625,0.085065976199526,-0.0328949702638653
"1999-07-09",0.407400069185574,-0.0112791930544194,0.219978059860084
"1999-07-15",0.424179705837057,0.00426820227008868,0.126264907481272
"1999-07-19",0.591418050317775,0.26325695122176,0.0115149570776167
"1999-07-26",0.33121412561613,0.134440028211474,0.125174595521147
"1999-08-05",0.572327533522304,0.357660343788087,0.120851862095798
"1999-08-19",0.607549030351065,0.0981534424876647,-0.0395715249608834
